query_id;Ath_vs_Alyr_subject_id;Ath_vs_Alyr_dN;Ath_vs_Alyr_dS;Ath_vs_Alyr_dNdS;Ath_vs_Crub_subject_id;Ath_vs_Crub_dN;Ath_vs_Crub_dS;Ath_vs_Crub_dNdS;Ath_vs_Esals_subject_id;Ath_vs_Esals_dN;Ath_vs_Esals_dS;Ath_vs_Esals_dNdS;Ath_vs_Mtrunc_subject_id;Ath_vs_Mtrunc_dN;Ath_vs_Mtrunc_dS;Ath_vs_Mtrunc_dNdS;Ath_vs_Thassl_subject_id;Ath_vs_Thassl_dN;Ath_vs_Thassl_dS;Ath_vs_Thassl_dNdS
AT2G39650.1.1;934727;0.01368;0.198;0.0691;Carubv10023703m;0.01882;0.4272;0.04405;Thhalv10017011m;0.04816;0.3825;0.1259;Medtr7g083080.1;0.3414;2.262;0.1509;lcl|NW_010966881.1_cds_XP_010554604.1_28500;0.1359;1.41;0.09641
AT2G39700.1.1;482991;0.005391;0.1612;0.03344;Carubv10023894m;0.005681;0.2489;0.02282;Thhalv10017119m;0.02271;0.3225;0.07043;Medtr5g079950.1;0.08398;1.614;0.05204;lcl|NW_010965122.1_cds_XP_010534508.1_10529;0.04506;1.095;0.04114
AT2G39710.1.1;482993;0.03148;0.21560000000000001;0.146;Carubv10023236m;0.03431;0.358;0.09583;Thhalv10016677m;0.06186;0.4494;0.1377;Medtr3g068000.1;0.2578;2.401;0.1074;lcl|NW_010960187.1_cds_XP_010532253.1_98;0.1264;0.7648;0.1652
AT2G39720.2.1;934736;0.02207;0.1675;0.1318;Carubv10023378m;0.03506;0.3147;0.1114;Thhalv10016765m;0.06048;0.6455;0.09369;Medtr3g068005.1;0.3667;1.987;0.1845;lcl|NW_010966881.1_cds_XP_010554613.1_28508;0.1193;1.617;0.07375
AT2G39725.2.1;482996;0.009953;0.1756;0.05669;Carubv10025335m;0.04345;0.2052;0.2118;Thhalv10017481m;0.06451;0.2532;0.2548;Medtr5g008340.1;0.2552;NA;NA;lcl|NW_010966881.1_cds_XP_010554614.1_28509;0.1803;1.023;0.1763
AT2G39730.1.1;482998;0.01171;0.109;0.1075;Carubv10023127m;0.02525;0.1395;0.181;Thhalv10016600m;0.03127;0.2465;0.1268;Medtr5g080450.1;0.126;1.395;0.09035;lcl|NW_010966881.1_cds_XP_010554615.1_28510;0.07396;0.8047;0.09192
AT2G39740.3.1;321659;0.02974;0.08239;0.361;Carubv10025267m;0.05495;0.1784;0.3081;Thhalv10016565m;0.1205;0.2821;0.4271;Medtr3g068215.2;0.4185;1.859;0.2251;lcl|NW_010965122.1_cds_XP_010534524.1_10544;0.1877;0.9058;0.2072
AT2G39750.1.1;483001;0.01026;0.1151;0.08913;Carubv10022763m;0.02569;0.2069;0.1242;Thhalv10016330m;0.04118;0.3164;0.1301;Medtr3g068990.1;0.1617;1.505;0.1074;lcl|NW_010965122.1_cds_XP_010534523.1_10545;0.1005;0.7805;0.1288
AT2G39770.3.1;483004;0.003557;0.1471;0.02418;Carubv10023461m;0.007026;0.2965;0.02369;Thhalv10016850m;0.01377;0.3971;0.03467;Medtr5g080770.1;0.04237;1.692;0.02504;lcl|NW_010966881.1_cds_XP_010554625.1_28521;0.04903;1.012;0.04844
AT2G39780.1.1;934744;0.023;0.118;0.195;Carubv10023875m;0.04072;0.211;0.193;Thhalv10027545m;0.04606;0.343;0.1343;Medtr8g028080.1;0.2225;1.597;0.1393;lcl|NW_010965625.1_cds_XP_010542069.1_17258;0.1152;0.7247;0.159
AT2G39830.1.1;321672;0.01224;0.106;0.1155;Carubv10022984m;0.01961;0.172;0.1141;Thhalv10016501m;0.02764;0.2897;0.09543;Medtr5g081160.1;0.1969;1.707;0.1154;lcl|NW_010966881.1_cds_XP_010554634.1_28528;0.08207;0.9831;0.08349
AT2G39840.1.1;483018;0.002479;0.1725;0.01438;Carubv10023647m;0.01228;0.2457;0.04997;Thhalv10016951m;0.006614;0.3246;0.02037;Medtr5g081230.1;0.07169;1.482;0.04837;lcl|NW_010965122.1_cds_XP_010534551.1_10574;0.03409;0.6614;0.05154
AT2G39870.1.1;483023;0.05552;0.2581;0.2151;Carubv10023822m;0.08322;0.444;0.1874;Thhalv10017947m;0.1056;0.4981;0.2121;Medtr5g081460.1;0.4884;2.652;0.1841;lcl|NW_010966881.1_cds_XP_010554632.1_28526;0.3073;1.517;0.2025
AT2G39910.1.1;483028;0.01157;0.1131;0.1023;Carubv10024810m;0.06658;0.2555;0.2606;Thhalv10016686m;0.09115;0.3881;0.2349;Medtr3g070010.1;0.3436;1.548;0.2219;lcl|NW_010965122.1_cds_XP_010534529.1_10556;0.1858;0.8328;0.2231
AT2G39930.1.1;483030;0.01715;0.1408;0.1218;Carubv10024947m;0.02787;0.2088;0.1334;Thhalv10016275m;0.03985;0.2261;0.1762;Medtr8g101490.1;0.1651;1.568;0.1053;lcl|NW_010960187.1_cds_XP_010558314.1_371;0.09836;0.6594;0.1492
AT2G39940.1.1;483031;0.01133;0.1514;0.0748;Carubv10022866m;0.01261;0.2572;0.049;Thhalv10016416m;0.03858;0.4514;0.08547;Medtr5g081870.1;0.1955;2.453;0.0797;lcl|NW_010966881.1_cds_XP_010554643.1_28537;0.08753;0.9697;0.09027
AT2G39950.1.1;483032;0.027;0.09977;0.2706;Carubv10022781m;0.06131;0.254;0.2414;Thhalv10017559m;0.09289;0.3477;0.2671;Medtr5g081880.1;0.4241;1.973;0.2149;lcl|NW_010966881.1_cds_XP_010554644.1_28538;0.2311;1.013;0.2282
AT2G39960.1.1;483034;0.007729;0.0861;0.08978;Carubv10024120m;0.009336;0.1982;0.0471;Thhalv10017265m;0.03959;0.2445;0.1619;Medtr5g081900.1;0.1634;2.206;0.07406;lcl|NW_010965122.1_cds_XP_010534562.1_10588;0.06073;0.6772;0.08968
AT2G39970.1.1;483035;0.01669;0.1241;0.1345;Carubv10023576m;0.02413;0.2353;0.1026;Thhalv10016895m;0.03188;0.2346;0.1359;Medtr5g081910.1;0.1805;1.165;0.1549;lcl|NW_010965122.1_cds_XP_010534564.1_10590;0.09147;0.6951;0.1316
AT2G39980.1.1;934773;0.02172;0.164;0.1324;Carubv10024944m;0.03298;0.348;0.09478;Thhalv10016586m;0.06495;0.5113;0.127;Medtr5g081960.1;0.2369;1.753;0.1352;lcl|NW_010965122.1_cds_XP_010534567.1_10592;0.1346;1.059;0.1272
AT2G39990.1.1;497488;0.0266;0.1559;0.1706;Carubv10024491m;0.02485;0.2635;0.09431;Thhalv10016933m;0.03168;0.2918;0.1086;Medtr3g070190.1;0.1397;1.788;0.07817;lcl|NW_010960187.1_cds_XP_010534390.1_122;0.1002;0.7774;0.1289
AT2G40000.1.1;483040;0.02064;0.1615;0.1278;Carubv10025158m;0.04389;0.4436;0.09894;Thhalv10017972m;0.04675;0.5403;0.08652;Medtr3g070230.1;0.354;NA;NA;lcl|NW_010966881.1_cds_XP_010554653.1_28546;0.1505;1.253;0.1202
AT2G40010.1.1;483041;0.01444;0.149;0.09688;Carubv10025153m;0.04699;0.30620000000000003;0.1535;Thhalv10016954m;0.033;0.3968;0.08317;Medtr5g082180.1;0.09706;1.292;0.07512;lcl|NW_010966881.1_cds_XP_010554654.1_28547;0.07959;0.9824;0.08102
AT2G40030.1.1;483042;0.02604;0.0822;0.3168;Carubv10022497m;0.04984;0.1763;0.2827;Thhalv10016128m;0.106;0.3705;0.2862;Medtr8g038990.1;0.3708;2.244;0.1652;lcl|NW_010965122.1_cds_XP_010534197.1_10224;0.205;0.9145;0.2242
AT2G40080.1.1;934787;0.0;0.1116;0.0;Carubv10024354m;0.01143;0.4284;0.02667;Thhalv10017822m;0.02255;0.2557;0.08817;Medtr3g070490.1;0.3255;1.964;0.1657;lcl|NW_010966881.1_cds_XP_010554657.1_28550;0.09547;1.003;0.09521
AT2G40090.1.1;483048;0.01117;0.1338;0.0835;Carubv10022955m;0.0185;0.2044;0.09051;Thhalv10016489m;0.04021;0.2507;0.1604;Medtr3g070410.1;0.1767;1.846;0.09571;lcl|NW_010960187.1_cds_XP_010535166.1_129;0.09512;0.637;0.1493
AT2G40095.2.1;483049;0.02283;0.1627;0.1404;Carubv10024065m;0.02141;0.1889;0.1134;Thhalv10017237m;0.0341;0.334;0.1021;Medtr3g070400.2;0.2175;1.521;0.143;lcl|NW_010966881.1_cds_XP_010554662.1_28555;0.1159;0.8306;0.1395
AT2G40100.1.1;483050;0.003224;0.1651;0.01953;Carubv10023823m;0.02673;0.2887;0.09259;Thhalv10017060m;0.0199;0.3404;0.05846;Medtr3g070340.1;0.1966;1.511;0.1301;lcl|NW_010966881.1_cds_XP_010554987.1_28556;0.07509;1.137;0.06602
AT2G40110.1.1;934793;0.003641;0.1641;0.02219;Carubv10024314m;0.00356;0.2428;0.01466;Thhalv10017415m;0.0278;0.3097;0.08977;Medtr3g070330.2;0.142;0.9977;0.1423;lcl|NW_010965122.1_cds_XP_010534593.1_10616;0.0667;0.4817;0.1385
AT2G40190.1.1;497266;0.01721;0.1329;0.1295;Carubv10023116m;0.02062;0.1877;0.1099;Thhalv10016619m;0.03688;0.3207;0.115;Medtr8g027750.1;0.1752;1.202;0.1458;lcl|NW_010965122.1_cds_XP_010534609.1_10632;0.08655;0.7005;0.1236
AT2G40200.1.1;483066;0.03284;0.2236;0.1469;Carubv10023707m;0.0354;0.3929;0.09012;Thhalv10017126m;0.07647;0.4037;0.1894;Medtr3g070970.1;0.42;2.115;0.1986;lcl|NW_010965122.1_cds_XP_010534610.1_10633;0.1823;1.145;0.1593
AT2G40220.1.1;901971;0.1187;0.2729;0.435;Carubv10025253m;0.04053;0.2622;0.1546;Thhalv10017614m;0.1002;0.3102;0.3229;Medtr5g082950.1;0.5432;1.687;0.3219;lcl|NW_010966881.1_cds_XP_010554674.1_28568;0.2634;1.092;0.2411
AT2G40230.1.1;483068;0.01763;0.1186;0.1486;Carubv10024868m;0.02503;0.221;0.1132;Thhalv10016665m;0.03826;0.2494;0.1534;Medtr3g071320.1;0.3142;2.589;0.1213;lcl|NW_010966881.1_cds_XP_010554673.1_28569;0.1008;0.6017;0.1676
AT2G40250.1.1;321717;0.02661;0.1225;0.2173;Carubv10025096m;0.1188;0.2989;0.3976;Thhalv10017802m;0.09618;0.2308;0.4167;Medtr5g083040.1;0.4666;1.59;0.2936;lcl|NW_010965122.1_cds_XP_010534613.1_10636;0.26;0.9497;0.2738
AT2G40280.1.1;934830;0.02291;0.1433;0.1599;Carubv10022824m;0.05002;0.2281;0.2193;Thhalv10016421m;0.05234;0.2575;0.2032;Medtr5g083150.1;0.2461;1.677;0.1468;lcl|NW_010966881.1_cds_XP_010554680.1_28573;0.1437;0.8886;0.1617
AT2G40290.1.1;483081;0.006568;0.156;0.0421;Carubv10025080m;0.01927;0.2515;0.07662;Thhalv10016882m;0.02;0.3499;0.05718;Medtr3g071550.1;0.09107;1.438;0.06333;lcl|NW_010965122.1_cds_XP_010534617.1_10639;0.05763;0.6591;0.08743
AT2G40316.1.1;934834;0.03348;0.152;0.2203;Carubv10023827m;0.05636;0.1744;0.3231;Thhalv10017062m;0.07231;0.1978;0.3655;Medtr3g071640.1;0.3584;1.593;0.2251;lcl|NW_010965122.1_cds_XP_010534619.1_10641;0.1777;0.6048;0.2939
AT2G40320.1.1;483086;0.01129;0.1828;0.06177;Carubv10023279m;0.01741;0.3046;0.05716;Thhalv10016691m;0.03147;0.2808;0.1121;Medtr5g083260.1;0.136;2.014;0.0675;lcl|NW_010966881.1_cds_XP_010554690.1_28582;0.1046;0.9625;0.1087
AT2G40360.1.1;483090;0.03117;0.1562;0.1996;Carubv10022683m;0.05598;0.2821;0.1984;Thhalv10001320m;0.09022;0.3542;0.2547;Medtr2g006020.1;0.2563;1.695;0.1512;lcl|NW_010969548.1_cds_XP_010522988.1_36646;0.1359;0.9067;0.1499
AT2G40370.1.1;934840;0.0187;0.1811;0.1033;Carubv10022891m;0.02214;0.2837;0.07804;Thhalv10016439m;0.04248;0.2812;0.1511;Medtr5g083360.1;0.1503;2.324;0.06465;lcl|NW_010965122.1_cds_XP_010534627.1_10649;0.09758;1.062;0.09191
AT2G40390.1.1;483093;0.01508;0.1309;0.1152;Carubv10023075m;0.03046;0.2468;0.1234;Thhalv10016559m;0.04314;0.2961;0.1457;Medtr5g083500.1;0.2963;2.429;0.122;lcl|NW_010965122.1_cds_XP_010534631.1_10653;0.1285;1.05;0.1224
AT2G40410.2.1;483096;0.02144;0.1222;0.1754;Carubv10023784m;0.07131;0.3511;0.2031;Thhalv10016915m;0.05619;0.2728;0.206;Medtr5g083730.1;0.2041;1.675;0.1219;lcl|NW_010960187.1_cds_XP_010537070.1_149;0.1068;0.6442;0.1657
AT2G40435.1.1;483101;0.01058;0.1292;0.08186;Carubv10024226m;0.0358;0.1806;0.1982;Thhalv10017347m;0.04769;0.155;0.3077;Medtr5g083810.1;0.2246;1.523;0.1475;lcl|NW_010960187.1_cds_XP_010537360.1_152;0.1775;0.6043;0.2937
AT2G40460.1.1;902003;0.02182;0.1449;0.1506;Carubv10022889m;0.02532;0.2088;0.1213;Thhalv10016426m;0.03741;0.2607;0.1435;Medtr3g072300.1;0.1687;2.317;0.07283;lcl|NW_010964598.1_cds_XP_010532218.1_8509;0.08148;1.13;0.07211
AT2G40470.1.1;483104;0.01383;0.1335;0.1036;Carubv10024002m;0.01815;0.1832;0.09905;Thhalv10017905m;0.02035;0.2543;0.08004;Medtr3g094690.1;0.1462;1.626;0.08992;lcl|NW_010966881.1_cds_XP_010554704.1_28599;0.07923;0.7891;0.1004
AT2G40475.1.1;934853;0.03879;0.1297;0.2991;Carubv10025412m;0.04304;0.2706;0.159;Thhalv10017268m;0.06804;0.387;0.1758;Medtr5g083970.1;0.5688;2.528;0.225;lcl|NW_010966881.1_cds_XP_010554705.1_28600;0.2805;1.106;0.2536
AT2G40480.1.1;483106;0.02479;0.1904;0.1302;Carubv10022876m;0.04889;0.3435;0.1423;Thhalv10016518m;0.06337;0.3372;0.1879;Medtr5g083980.1;0.4525;NA;NA;lcl|NW_010970652.1_cds_XP_010525377.1_38710;0.162;0.8436;0.192
AT2G40490.1.1;934855;0.008134;0.1743;0.04666;Carubv10023374m;0.02189;0.17;0.1288;Thhalv10016760m;0.0203;0.2802;0.07244;Medtr3g072330.1;0.1341;1.743;0.07697;lcl|NW_010970652.1_cds_XP_010525378.1_38711;0.07593;0.8948;0.08486
AT2G40540.5.1;483110;0.00413;0.1856;0.02225;Carubv10024650m;0.01192;0.2765;0.0431;Thhalv10016274m;0.02034;0.3457;0.05883;Medtr3g094090.2;0.1288;1.92;0.06706;lcl|NW_010970652.1_cds_XP_010525382.1_38718;0.07847;0.956;0.08208
AT2G40550.1.1;483112;0.01509;0.1501;0.1005;Carubv10022873m;0.02939;0.2266;0.1297;Thhalv10016414m;0.03953;0.2802;0.1411;Medtr3g094070.1;0.2999;1.563;0.1919;lcl|NW_010960187.1_cds_XP_010537842.1_157;0.1447;0.6577;0.22
AT2G40570.1.1;483113;0.03547;0.1009;0.3517;Carubv10022988m;0.05734;0.2759;0.2078;Thhalv10016464m;0.06099;0.381;0.1601;Medtr8g102540.1;0.2552;1.222;0.2088;lcl|NW_010963495.1_cds_XP_010531159.1_7568;0.1881;1.237;0.1521
AT2G40600.1.1;483117;0.04006;0.1794;0.2233;Carubv10025563m;0.0718;0.2516;0.2854;Thhalv10017560m;0.06658;0.501;0.1329;Medtr1g007640.1;0.2449;2.036;0.1203;lcl|NW_010966881.1_cds_XP_010554711.1_28606;0.2236;0.9413;0.2375
AT2G40610.1.1;934869;0.01353;0.1904;0.07106;Carubv10025678m;0.03488;0.2854;0.1222;Thhalv10017120m;0.04051;0.4351;0.09311;Medtr3g094040.1;0.162;NA;NA;lcl|NW_010970652.1_cds_XP_010525408.1_38741;0.09986;1.362;0.07334
AT2G40620.1.1;483119;0.01048;0.1111;0.09434;Carubv10025182m;0.02247;0.2208;0.1017;Thhalv10016819m;0.02761;0.2874;0.09606;Medtr3g467120.1;0.356;2.795;0.1274;lcl|NW_010960187.1_cds_XP_010539313.1_176;0.09613;0.8035;0.1196
AT2G40660.1.1;483125;0.03426;0.1001;0.3423;Carubv10023092m;0.0591;0.2036;0.2903;Thhalv10016505m;0.07;0.283;0.2473;Medtr3g093870.1;0.2692;1.088;0.2474;lcl|NW_010970652.1_cds_XP_010525413.1_38746;0.1433;0.6425;0.2231
AT2G40690.3.1;483127;0.008891;0.08599;0.1034;Carubv10023204m;0.01727;0.1581;0.1092;Thhalv10016719m;0.02314;0.2703;0.0856;Medtr5g067640.1;0.1162;2.219;0.05234;lcl|NW_010960187.1_cds_XP_010540013.1_182;0.0719;0.7905;0.09095
AT2G40700.1.1;483128;0.01889;0.1072;0.1762;Carubv10024501m;0.03084;0.23;0.1341;Thhalv10016399m;0.05007;0.3025;0.1655;Medtr4g059460.1;0.2416;1.491;0.162;lcl|NW_010966881.1_cds_XP_010554723.1_28618;0.1167;0.6467;0.1804
AT2G40730.1.1;934879;0.003331;0.08189;0.04067;Carubv10022662m;0.01022;0.1702;0.06006;Thhalv10016269m;0.01914;0.188;0.1018;Medtr6g086565.1;0.1319;1.21;0.109;lcl|NW_010966881.1_cds_XP_010554724.1_28619;0.06759;0.5627;0.1201
AT2G40760.1.1;483133;0.02886;0.1255;0.23;Carubv10023136m;0.05085;0.2797;0.1818;Thhalv10016615m;0.05009;0.3112;0.1609;Medtr5g067730.1;0.2531;NA;NA;lcl|NW_010970652.1_cds_XP_010525417.1_38751;0.1259;0.8239;0.1527
AT2G40770.3.1;483135;0.02491;0.09133;0.2728;Carubv10022506m;0.06176;0.2062;0.2995;Thhalv10016132m;0.07058;0.2487;0.2838;Medtr5g067980.2;0.2911;1.356;0.2147;lcl|NW_010960187.1_cds_XP_010554570.1_188;0.143;0.5896;0.2425
AT2G40780.1.1;483136;0.01506;0.1029;0.1463;Carubv10024173m;0.03583;0.1764;0.2031;Thhalv10017311m;0.04045;0.2841;0.1424;Medtr3g093790.1;0.2763;1.585;0.1743;lcl|NW_010966881.1_cds_XP_010554727.1_28622;0.1823;0.6986;0.2609
AT2G40830.4.1;483145;0.02189;0.1266;0.1729;Carubv10023620m;0.02336;0.276;0.08466;Thhalv10016932m;0.0466;0.2776;0.1678;Medtr1g051105.2;0.313;2.044;0.15310000000000001;lcl|NW_010960187.1_cds_XP_010540914.1_193;0.1299;0.9659;0.1345
AT2G40840.1.1;483146;0.01901;0.1387;0.1371;Carubv10022587m;0.02551;0.215;0.1186;Thhalv10016195m;0.04314;0.2452;0.1759;Medtr7g088740.1;0.1959;1.402;0.1397;lcl|NW_010970652.1_cds_XP_010525431.1_38763;0.08734;0.6675;0.1308
AT2G40860.1.1;483148;0.01783;0.08853;0.2014;Carubv10022759m;0.04055;0.2131;0.1903;Thhalv10016363m;0.05958;0.2237;0.2663;Medtr1g050520.1;0.232;1.652;0.1405;lcl|NW_010960187.1_cds_XP_010541109.1_195;0.1227;0.5799;0.2115
AT2G40930.2.1;934908;0.01219;0.0914;0.1334;Carubv10025482m;0.024140000000000002;0.1982;0.1217;Thhalv10016401m;0.02823;0.2592;0.1089;Medtr7g088760.1;0.2031;1.305;0.1556;lcl|NW_010970652.1_cds_XP_010525436.1_38768;0.108;0.6259;0.1725
AT2G40935.9.1;483158;0.02287;0.1171;0.1953;Carubv10024118m;0.06204;0.2065;0.3004;Thhalv10017276m;0.09836;0.3147;0.3126;Medtr5g008240.4;0.2549;1.662;0.1534;lcl|NW_010970652.1_cds_XP_010525438.1_38769;0.1801;0.7931;0.227
AT2G40940.1.1;934910;0.002547;0.1689;0.01508;Carubv10025204m;0.004581;0.2877;0.01592;Thhalv10001362m;0.0144;0.4098;0.03513;Medtr7g109150.2;0.1528;1.999;0.07645;lcl|NW_010965946.1_cds_XP_010544990.1_19865;0.06761;1.015;0.06661
AT2G40950.1.1;934911;0.01943;0.1167;0.1665;Carubv10022722m;0.0301;0.2638;0.1141;Thhalv10016317m;0.05075;0.3583;0.1417;Medtr7g088890.1;0.3278;2.153;0.1522;lcl|NW_010966881.1_cds_XP_010554741.1_28638;0.1882;0.7891;0.2386
AT2G40980.1.1;345894;0.01447;0.148;0.09776;Carubv10022762m;0.02303;0.3196;0.07206;Thhalv10016332m;0.02547;0.3815;0.06675;Medtr7g087510.1;0.1666;1.447;0.1151;lcl|NW_010960187.1_cds_XP_010541205.1_196;0.06836;0.65;0.1052
AT2G41000.1.1;321788;0.0175;0.1639;0.1068;Carubv10023882m;0.05738;0.346;0.1659;Thhalv10017302m;0.04097;0.4594;0.08919;Medtr6g027110.1;0.3985;2.007;0.1986;lcl|NW_010960187.1_cds_XP_010541916.1_205;0.1571;1.018;0.1543
AT2G41020.1.1;483169;0.03378;0.1063;0.3179;Carubv10023159m;0.0657;0.2236;0.2939;Thhalv10002504m;0.09923;0.3167;0.3133;Medtr1g051155.1;0.3217;1.856;0.1733;lcl|NW_010960187.1_cds_XP_010542115.1_207;0.2042;0.7855;0.26
AT2G41040.1.1;934924;0.02057;0.1224;0.1681;Carubv10023510m;0.02576;0.2242;0.1149;Thhalv10016844m;0.05729;0.3029;0.1892;Medtr2g450530.1;0.2596;1.641;0.1582;lcl|NW_010964923.1_cds_XP_010533098.1_9294;0.1455;1.057;0.1377
AT2G41080.1.1;483178;0.01481;0.1471;0.1007;Carubv10022804m;0.02841;0.2894;0.09816;Thhalv10017967m;0.05886;0.2971;0.1981;Medtr4g094658.1;0.2675;1.66;0.1611;lcl|NW_010966986.1_cds_XP_010555596.1_29334;0.1911;0.89;0.2147
AT2G41120.1.1;483180;0.03029;0.1598;0.1895;Carubv10024764m;0.06856;0.3353;0.2044;Thhalv10017145m;0.05313;0.4079;0.1303;Medtr7g088210.1;0.3698;NA;NA;lcl|NW_010970652.1_cds_XP_010525464.1_38802;0.1666;0.9122;0.1827
AT2G41140.1.1;483182;0.006243;0.1375;0.04542;Carubv10022894m;0.01097;0.2226;0.04929;Thhalv10016437m;0.02132;0.3502;0.06087;Medtr7g089480.1;0.115;2.12;0.05427;lcl|NW_010960187.1_cds_XP_010542604.1_212;0.04191;0.8095;0.05178
AT2G41190.1.1;934938;0.01381;0.1118;0.1235;Carubv10022954m;0.03401;0.2548;0.1335;Thhalv10016504m;0.03773;0.3066;0.1231;Medtr7g089910.1;0.2479;1.773;0.1398;lcl|NW_010966881.1_cds_XP_010554769.1_28666;0.1313;0.8709;0.1508
AT2G41200.1.1;483189;0.01999;0.136;0.1469;Carubv10025091m;0.2339;0.604;0.3873;Thhalv10017345m;0.04742;0.3881;0.1222;Medtr7g089940.1;0.4053;NA;NA;lcl|NW_010970652.1_cds_XP_010525473.1_38808;0.1887;0.9085;0.2077
AT2G41250.1.1;934945;0.01031;0.1383;0.07451;Carubv10023710m;0.01984;0.2572;0.07714;Thhalv10016879m;0.03562;0.2956;0.1205;Medtr7g090370.1;0.1894;1.064;0.178;lcl|NW_010966881.1_cds_XP_010554772.1_28671;0.1119;0.7899;0.1417
AT2G41290.1.1;483200;0.05176;0.1416;0.3655;Carubv10023450m;0.07072;0.3881;0.1823;Thhalv10016811m;0.09086;0.2884;0.315;Medtr7g090320.1;0.4271;NA;NA;lcl|NW_010966881.1_cds_XP_010554776.1_28672;0.1836;0.9175;0.2001
AT2G41342.1.1;483205;0.04306;0.1527;0.2819;Carubv10024995m;0.1828;0.1693;1.08;Thhalv10017494m;0.1081;0.3323;0.3252;Medtr5g026380.1;0.5375;NA;NA;lcl|NW_010970652.1_cds_XP_010525486.1_38823;0.3291;0.778;0.423
AT2G41350.1.1;934959;0.006389;0.1127;0.056710000000000003;Carubv10025670m;0.0165;0.2428;0.06796;Thhalv10017004m;0.0271;0.3181;0.08521;Medtr3g079220.1;0.1822;2.131;0.08549;lcl|NW_010966881.1_cds_XP_010554788.1_28686;0.06512;0.736;0.08848
AT2G41370.1.1;934964;0.004914;0.1112;0.0442;Carubv10023088m;0.01121;0.265;0.04232;Thhalv10016568m;0.02061;0.363;0.05679;Medtr7g090020.2;0.101;1.74;0.05807;lcl|NW_010970652.1_cds_XP_010525497.1_38832;0.05418;1.156;0.04685
AT2G41380.1.1;934965;0.03514;0.1924;0.1826;Carubv10023848m;0.05908;0.3975;0.1486;Thhalv10017081m;0.07338;0.3978;0.1845;Medtr7g090180.1;0.3334;2.017;0.1653;lcl|NW_010960187.1_cds_XP_010543932.1_225;0.1399;1.18;0.1186
AT2G41410.1.1;934970;0.01682;0.06604;0.2547;Carubv10024577m;0.06779;0.4621;0.1467;Thhalv10017207m;0.08297;0.5319;0.156;Medtr7g090450.1;0.3115;1.632;0.1909;lcl|NW_010960187.1_cds_XP_010544017.1_226;0.1551;1.415;0.1097
AT2G41430.5.1;483215;0.02782;0.1466;0.1897;Carubv10024225m;0.04093;0.2188;0.1871;Thhalv10017354m;0.07302;0.3968;0.184;Medtr3g023110.1;0.4144;1.97;0.2104;lcl|NW_010970652.1_cds_XP_010525500.1_38836;0.1984;1.213;0.1636
AT2G41450.1.1;902111;0.03577;0.08076;0.443;Carubv10022953m;0.05632;0.2016;0.2793;Thhalv10016390m;0.06856;0.2652;0.2585;Medtr7g090680.1;0.3245;1.895;0.1713;lcl|NW_010960187.1_cds_XP_010544503.1_231;0.2278;0.5524;0.4124
AT2G41460.1.1;483223;0.03744;0.06981;0.5363;Carubv10022937m;0.05996;0.2346;0.2556;Thhalv10016487m;0.08104;0.2688;0.3015;Medtr1g051380.2;0.3282;1.784;0.1839;lcl|NW_010970652.1_cds_XP_010525508.1_38842;0.1818;0.7087;0.2565
AT2G41475.1.1;483224;0.02363;0.09871;0.2394;Carubv10024164m;0.05284;0.2767;0.191;Thhalv10017295m;0.07048;0.3354;0.2101;Medtr2g103670.1;0.422;NA;NA;lcl|NW_010965625.1_cds_XP_010541920.1_17118;0.1688;1.065;0.1585
AT2G41480.1.1;902115;0.01622;0.141;0.115;Carubv10023605m;0.01462;0.2173;0.06729;Thhalv10016924m;0.04035;0.3005;0.1343;Medtr4g114210.1;0.1806;1.657;0.1089;lcl|NW_010967707.1_cds_XP_010557598.1_31240;0.1011;1.127;0.08973
AT2G41490.1.1;483226;0.01201;0.1021;0.1177;Carubv10023269m;0.02152;0.3073;0.07002;Thhalv10016693m;0.0317;0.2919;0.1086;Medtr0012s0090.1;0.1475;1.601;0.09212;lcl|NW_010970652.1_cds_XP_010525507.1_38844;0.06594;0.66;0.09991
AT2G41500.2.1;483227;0.02331;0.1342;0.1737;Carubv10022934m;0.03859;0.2257;0.171;Thhalv10016457m;0.05306;0.2418;0.2194;Medtr3g045130.2;0.2267;2.118;0.1071;lcl|NW_010966881.1_cds_XP_010554803.1_28699;0.1166;0.6392;0.1825
AT2G41510.2.1;483228;0.02398;0.1095;0.2191;Carubv10022823m;0.05354;0.2056;0.2604;Thhalv10016470m;0.04444;0.2942;0.1511;Medtr7g090920.1;0.2235;1.54;0.1451;lcl|NW_010960188.1_cds_XP_010523651.1_3989;0.104;0.4959;0.2097
AT2G41520.1.1;934985;0.04261;0.09763;0.4365;Carubv10022543m;0.077;0.195;0.395;Thhalv10016164m;0.11;0.2246;0.4897;Medtr7g090940.2;0.5232;1.897;0.2758;lcl|NW_010960187.1_cds_XP_010544760.1_233;0.2828;0.6361;0.4446
AT2G41530.1.1;934986;0.02185;0.09324;0.2343;Carubv10023793m;0.03846;0.2073;0.1855;Thhalv10017045m;0.04435;0.3125;0.1419;Medtr4g008660.1;0.1318;1.309;0.1007;lcl|NW_010960188.1_cds_XP_010523690.1_3994;0.1043;0.557;0.1873
